chebi_id,InChIKey
8647,WDGFFVCWBZVLCE-UHFFFAOYSA-N
8736,AQHHHDLHHXJYJD-CQSZACIVSA-N
8886,HIQZXOFBXJICTD-IHLOFXLRSA-N
8888,UHSKFQJFRQCDBE-UHFFFAOYSA-N
8934,QJDFZNIKGFGPCR-UHFFFAOYSA-N
9073,KQPKPCNLIDLUMF-UHFFFAOYSA-N
9107,HKODIGSRFALUTA-JTLQZVBZSA-N
9179,OIRZWVYIQXBRFC-UHFFFAOYSA-N
9212,DZZWHBIBMUVIIW-DTORHVGOSA-N
9331,VACCAVUAMIDAGB-UHFFFAOYSA-N
9362,MDKGKXOCJGEUJW-UHFFFAOYSA-N
9457,MOYAFQVGZZPNRA-UHFFFAOYSA-N
9533,HZSAJDVWZRBGIF-UHFFFAOYSA-O
9753,GXPHKUHSUJUWKP-UHFFFAOYSA-N
9925,AEQFSUDEHCCHBT-UHFFFAOYSA-M
9947,MZHXYVMEVBEFAL-XXFAKQOHSA-N
10016,IIMPGJMHQMBXKL-OPDPKHDKSA-N
10112,MWLSOWXNZPKENC-UHFFFAOYSA-N
10216,IRAQOCYXUMOFCW-OSFYFWSMSA-N
10588,VHFVKMTVMIZMIK-UHFFFAOYSA-N
10702,YDRSQRPHLBEPTP-PHDIDXHHSA-N
11369,CTPQAXVNYGZUAJ-QWBQGLJISA-N
11438,FHXOPKKNGKBBKG-DXLKSGPOSA-L
11561,PKVVTUWHANFMQC-UHFFFAOYSA-M
11641,NOXRYJAWRSNUJD-UHFFFAOYSA-M
11892,JSJWCHRYRHKBBW-UHFFFAOYSA-M
11972,AYFXPGXAZMFWNH-UHFFFAOYSA-N
12071,QYNUQALWYRSVHF-ABLWVSNPSA-L
12154,MGTZCLMLSSAXLD-UHFFFAOYSA-M
12350,PMTUDJVZIGZBIX-ZXXMMSQZSA-N
12855,YDRSQRPHLBEPTP-WDSKDSINSA-N
13022,BJHIKXHVCXFQLS-PYWDMBMJSA-N
13711,LIPOUNRJVLNBCD-UHFFFAOYSA-M
14027,VRSRXLJTYQVOHC-YEJXKQKISA-N
14469,NNWHUJCUHAELCL-UHFFFAOYSA-N
15208,KFFHSFCOKCGBBW-VCPDXWRASA-N
15335,DANYIYRPLHHOCZ-UHFFFAOYSA-N
15343,IKHGUXGNUITLKF-UHFFFAOYSA-N
15346,RGJOEKWQDUBAIZ-IBOSZNHHSA-N
15347,CSCPPACGZOOCGX-UHFFFAOYSA-N
